Num of Spin	LeftCredit	Line	BetPerLine	TotalAmount	TotalHit	TotalCoinIn	TotalCoinOut	Hit Rate	PayBack	BaseGame Hit	BaseGame TotalWin	BaseGame Hit Rate	BaseGame PayBack	BaseGame TopAward	BaseGame TopAward ReelsStop	BaseGame TopAward Type	Freespin Total Hit	Freespin Total Win	FreeSpin Total Hit Rate	FreeSpin Total PayBack	Feespin Total Times	Freespin TopAward	FS TopAward ReelsStop	FS TopAward Type	screen Max Award	screen Max Award Hit	Bonus Total Hit	Bonus Total Win	Bonus Total Hit Rate	Bonus Total Payback	Base Mystery Mul1 Hit	Base Mystery Mul2 Hit	Base Mystery Mul3 Hit	Base Mystery Mul4 Hit	Base Mystery Mul5 Hit	Base Mystery Mul6 Hit	Base Mystery Mul7 Hit	Base Mystery Mul8 Hit	Fs Inc Mul1 Times	Fs Inc Mul2 Times	Fs Inc Mul3 Times	Fs Inc Mul4 Times	Fs Inc Mul5 Times	Fs Inc Mul6 Times	Fs Inc Mul7 Times	Fs Inc Mul1 Hit	Fs Inc Mul2 Hit	Fs Inc Mul3 Hit	Fs Inc Mul4 Hit	Fs Inc Mul5 Hit	Fs Inc Mul6 Hit	Fs Inc Mul7 Hit	Fs Inc Mul1 Win	Fs Inc Mul2 Win	Fs Inc Mul3 Win	Fs Inc Mul4 Win	Fs Inc Mul5 Win	Fs Inc Mul6 Win	Fs Inc Mul7 Win	Pay6	Pay6Hit	Pay6PayOut	Pay10	Pay10Hit	Pay10PayOut	Pay20	Pay20Hit	Pay20PayOut	Pay30	Pay30Hit	Pay30PayOut	Pay40	Pay40Hit	Pay40PayOut	Pay50	Pay50Hit	Pay50PayOut	Pay60	Pay60Hit	Pay60PayOut	Pay80	Pay80Hit	Pay80PayOut	Pay100	Pay100Hit	Pay100PayOut	Pay120	Pay120Hit	Pay120PayOut	Pay160	Pay160Hit	Pay160PayOut	Pay200	Pay200Hit	Pay200PayOut	Pay400	Pay400Hit	Pay400PayOut	Pay500	Pay500Hit	Pay500PayOut	Pay1000	Pay1000Hit	Pay1000PayOut	
844000	9997065206	88	1	180.0	183968	74272000	7.1337206E7	0.21797156398104264	0.9604858627746661	183981	46468012	0.21798696682464455	0.625646434726411	14420	45 18 35 0 93	Base Normal	2457	12631386	0.002911137440758294	0.17006928586816028	22608	20510	70 94 70 57 3	FS	52976.0	1	2422	12237808	0.002869668246445498	0.16477014218009478	546558	124510	50878	33873	29395	25119	20977	12690	5190	4772	4286	3124	1985	1073	2178	2354	2268	1973	1471	898	508	1022	1355764	1878882	2276536	2054400	1652532	1043448	2369824	6	50819	589452	10	150246	2914710	20	197133	7626920	30	49011	2838840	40	167322	12897840	50	43822	4229350	60	5827	685500	80	14427	2241840	100	50316	9612700	120	1046	248760	160	2663	803200	200	3971	1518400	400	320	260000	500	1	500	1000	0	0	
845000	9997047424	88	1	0.0	184194	74360000	7.1407424E7	0.2179810650887574	0.9602934911242603	184207	46524246	0.217996449704142	0.6256622646584185	14420	45 18 35 0 93	Base Normal	2458	12632346	0.0029088757396449703	0.1698809306078537	22616	20510	70 94 70 57 3	FS	52976.0	1	2425	12250832	0.002869822485207101	0.16475029585798817	547216	124659	50928	33903	29427	25144	21013	12710	5193	4774	4289	3124	1985	1073	2178	2355	2269	1973	1471	898	508	1022	1356124	1879482	2276536	2054400	1652532	1043448	2369824	6	50863	590046	10	150467	2919180	20	197383	7636320	30	49058	2841570	40	167535	12913520	50	43855	4232350	60	5834	686460	80	14446	2245040	100	50363	9625900	120	1047	249360	160	2668	804000	200	3975	1520000	400	320	260000	500	1	500	1000	0	0	
846000	9997032024	88	1	0.0	184416	74448000	7.1480024E7	0.2179858156028369	0.9601335697399527	184429	46578650	0.21800118203309693	0.6256534762518805	14420	45 18 35 0 93	Base Normal	2459	12638222	0.0029066193853427894	0.16975905329894692	22624	20510	70 94 70 57 3	FS	52976.0	1	2427	12263152	0.002868794326241135	0.16472104018912528	547838	124819	50996	33943	29460	25178	21040	12726	5194	4776	4290	3127	1986	1073	2178	2356	2270	1974	1472	898	508	1022	1356244	1880868	2277016	2058290	1652532	1043448	2369824	6	50914	590670	10	150684	2924260	20	197604	7647140	30	49148	2846370	40	167719	12927720	50	43884	4235250	60	5839	686760	80	14461	2247920	100	50416	9635700	120	1049	249840	160	2675	805920	200	3978	1520600	400	320	260000	500	1	500	1000	0	0	
847000	9997016796	88	1	200.0	184618	74536000	7.1552796E7	0.21796694214876033	0.9599763335837715	184631	46624766	0.2179822904368359	0.6255335140066545	14420	45 18 35 0 93	Base Normal	2461	12658542	0.0029055489964580875	0.16983124932918323	22640	20510	70 94 70 57 3	FS	52976.0	1	2428	12269488	0.0028665879574970485	0.16461157024793388	548481	124965	51055	33970	29493	25217	21069	12750	5198	4779	4293	3129	1988	1075	2178	2358	2272	1976	1474	900	510	1022	1357880	1882674	2279536	2064300	1659060	1045268	2369824	6	50979	591246	10	150867	2927900	20	197842	7656400	30	49210	2851680	40	167897	12942280	50	43918	4237400	60	5847	689100	80	14475	2249280	100	50450	9640100	120	1049	249840	160	2677	806240	200	3988	1522800	400	320	260000	500	1	500	1000	0	0	
848000	9997001722	88	1	0.0	184850	74624000	7.1625722E7	0.21798349056603775	0.9598215319468267	184863	46678244	0.217998820754717	0.6255124892795884	14420	45 18 35 0 93	Base Normal	2461	12658542	0.002902122641509434	0.16963097662950258	22640	20510	70 94 70 57 3	FS	52976.0	1	2434	12288936	0.0028702830188679245	0.16467806603773585	549123	125111	51123	34016	29521	25244	21095	12767	5198	4779	4293	3129	1988	1075	2178	2358	2272	1976	1474	900	510	1022	1357880	1882674	2279536	2064300	1659060	1045268	2369824	6	51049	591924	10	151045	2931170	20	198109	7667640	30	49278	2854980	40	168039	12952680	50	43960	4241650	60	5856	690180	80	14488	2251920	100	50509	9655800	120	1049	249840	160	2679	806560	200	3991	1523400	400	320	260000	500	1	500	1000	0	0	
849000	9996985530	88	1	360.0	185063	74712000	7.169753E7	0.2179776207302709	0.9596521308491273	185076	46727074	0.21799293286219082	0.6254293018524467	14420	45 18 35 0 93	Base Normal	2465	12676768	0.0029034157832744404	0.16967512581646857	22672	20510	70 94 70 57 3	FS	52976.0	1	2435	12293688	0.002868080094228504	0.164547703180212	549761	125271	51182	34051	29552	25275	21124	12784	5205	4784	4298	3137	1992	1078	2178	2362	2276	1980	1478	904	510	1022	1360020	1888212	2282536	2069100	1661808	1045268	2369824	6	51101	592584	10	151233	2935690	20	198350	7676600	30	49338	2860800	40	168175	12962480	50	44003	4245000	60	5860	690780	80	14504	2254240	100	50579	9667600	120	1051	250080	160	2680	806720	200	3994	1524000	400	320	260000	500	1	500	1000	0	0	
850000	9996971762	88	1	0.0	185265	74800000	7.1771762E7	0.21795882352941176	0.9595155347593582	185278	46772670	0.21797411764705882	0.6253030748663102	14420	45 18 35 0 93	Base Normal	2468	12697308	0.002903529411764706	0.16975010695187165	22696	20510	70 94 70 57 3	FS	52976.0	1	2437	12301784	0.002867058823529412	0.16446235294117648	550407	125423	51238	34096	29586	25304	21146	12800	5211	4789	4302	3141	1994	1081	2178	2365	2279	1983	1480	906	510	1022	1360372	1891404	2283496	2070400	1676544	1045268	2369824	6	51155	593310	10	151379	2938890	20	198581	7685860	30	49386	2864400	40	168340	12974720	50	44037	4249150	60	5870	691920	80	14526	2257280	100	50619	9674400	120	1054	250800	160	2682	807040	200	3996	1524400	400	320	260000	500	1	500	1000	0	0	
851000	9996953406	88	1	1080.0	185466	74888000	7.1841406E7	0.21793889541715628	0.9593179948723427	185479	46827874	0.21795417156286723	0.6253054427945732	14420	45 18 35 0 93	Base Normal	2470	12708228	0.0029024676850763808	0.1696964533703664	22712	20510	70 94 70 57 3	FS	52976.0	1	2438	12305304	0.002864864864864865	0.16431609870740305	551042	125576	51305	34134	29621	25331	21170	12821	5214	4795	4304	3143	1995	1083	2178	2367	2281	1984	1481	907	511	1022	1361772	1892784	2286184	2073400	1678716	1045548	2369824	6	51199	593754	10	151529	2942600	20	198808	7693540	30	49455	2868450	40	168542	12989920	50	44099	4254250	60	5873	692100	80	14541	2259040	100	50694	9686600	120	1057	252360	160	2691	808960	200	4003	1525800	400	320	260000	500	1	500	1000	0	0	
852000	9996931316	88	1	0.0	185677	74976000	7.1907316E7	0.21793075117370891	0.9590711160904822	185690	46890210	0.21794600938967137	0.6254029289372599	14420	45 18 35 0 93	Base Normal	2472	12711802	0.0029014084507042255	0.16954494771660264	22728	20510	70 94 70 57 3	FS	52976.0	1	2438	12305304	0.0028615023474178403	0.16412323943661972	551697	125723	51360	34176	29655	25364	21189	12836	5218	4800	4308	3145	1996	1083	2178	2369	2283	1986	1482	908	511	1022	1362312	1894020	2286632	2074150	1679316	1045548	2369824	6	51260	594750	10	151677	2945950	20	199049	7703080	30	49508	2872650	40	168766	13008480	50	44145	4258700	60	5873	692100	80	14563	2264880	100	50754	9698800	120	1058	252480	160	2696	810240	200	4006	1526400	400	323	261200	500	1	500	1000	0	0	
853000	9996955740	88	1	0.0	185905	75064000	7.201974E7	0.21794255568581478	0.9594444740488117	185918	46957638	0.217957796014068	0.6255680219545987	14420	45 18 35 0 93	Base Normal	2475	12730750	0.0029015240328253223	0.16959860918682723	22752	20510	70 94 70 57 3	FS	52976.0	1	2441	12331352	0.002861664712778429	0.1642778429073857	552341	125881	51414	34220	29683	25394	21214	12853	5223	4805	4313	3148	1998	1087	2178	2372	2286	1989	1484	910	511	1022	1363932	1896678	2291312	2081500	1681956	1045548	2369824	6	51345	596148	10	151886	2950530	20	199295	7711740	30	49560	2875590	40	168965	13024800	50	44185	4263450	60	5883	693720	80	14570	2265920	100	50816	9717800	120	1061	253680	160	2697	810560	200	4010	1528400	400	325	264800	500	1	500	1000	0	0	
854000	9996941086	88	1	160.0	186116	75152000	7.2093086E7	0.2179344262295082	0.9592969714711518	186129	47001246	0.2179496487119438	0.6254157707047051	14420	45 18 35 0 93	Base Normal	2477	12733120	0.0029004683840749414	0.1694315520545029	22768	20510	70 94 70 57 3	FS	52976.0	1	2444	12358720	0.002861826697892272	0.16444964871194379	553011	126025	51470	34268	29711	25422	21232	12861	5225	4817	4315	3148	1998	1087	2178	2374	2288	1990	1484	910	511	1022	1365312	1897068	2291912	2081500	1681956	1045548	2369824	6	51400	596946	10	152061	2953200	20	199566	7719980	30	49614	2877510	40	169129	13037400	50	44238	4268050	60	5887	694080	80	14587	2268240	100	50859	9726500	120	1062	253800	160	2700	811040	200	4012	1528800	400	326	265200	500	1	500	1000	0	0	
855000	9996928284	88	1	0.0	186328	75240000	7.2168284E7	0.21792748538011697	0.9591744284954812	186341	47059430	0.21794269005847952	0.6254576023391812	14420	45 18 35 0 93	Base Normal	2479	12735966	0.0028994152046783626	0.16927121212121213	22784	20510	70 94 70 57 3	FS	52976.0	1	2447	12372888	0.0028619883040935674	0.16444561403508773	553657	126177	51521	34316	29744	25456	21254	12875	5228	4822	4323	3148	1998	1087	2178	2376	2290	1991	1484	910	511	1022	1366012	1898574	2292552	2081500	1681956	1045548	2369824	6	51441	597480	10	152226	2956370	20	199771	7729640	30	49730	2883690	40	169372	13054920	50	44290	4275350	60	5888	694260	80	14604	2270400	100	50903	9735500	120	1064	254040	160	2703	812480	200	4014	1529200	400	327	265600	500	1	500	1000	0	0	
856000	9996932560	88	1	60.0	186541	75328000	7.226056E7	0.21792172897196263	0.9592788870008496	186554	47106680	0.21793691588785047	0.6253541843670348	14420	45 18 35 0 93	Base Normal	2484	12754944	0.0029018691588785046	0.16932540356839423	22832	20510	70 94 70 57 3	FS	52976.0	1	2451	12398936	0.0028633177570093456	0.16459929906542056	554325	126322	51578	34355	29775	25484	21280	12881	5241	4828	4333	3155	2001	1095	2179	2381	2294	1995	1486	913	513	1023	1368112	1902942	2294920	2082010	1690368	1046528	2370064	6	51481	597930	10	152383	2959620	20	199968	7737100	30	49821	2889360	40	169592	13069880	50	44319	4277550	60	5896	694800	80	14620	2272400	100	50948	9745100	120	1065	254160	160	2704	813280	200	4015	1529400	400	327	265600	500	1	500	1000	0	0	
857000	9996937948	88	1	52.0	186745	75416000	7.2353948E7	0.21790548424737458	0.9593978466107987	186758	47163578	0.21792065344224038	0.6253789381563594	14420	45 18 35 0 93	Base Normal	2489	12765474	0.0029043173862310385	0.16926744987800998	22872	20510	70 94 70 57 3	FS	52976.0	1	2455	12424896	0.002864644107351225	0.1647514585764294	554958	126465	51633	34402	29819	25516	21311	12896	5261	4840	4339	3156	2002	1095	2179	2386	2297	1996	1487	913	513	1023	1371532	1904502	2295720	2086760	1690368	1046528	2370064	6	51530	598548	10	152576	2964050	20	200211	7746940	30	49895	2894430	40	169748	13084440	50	44357	4281750	60	5904	695580	80	14630	2273920	100	50999	9756500	120	1066	254760	160	2707	814560	200	4019	1531200	400	329	266400	500	1	500	1000	0	0	
858000	9996955144	88	1	0.0	186964	75504000	7.2459144E7	0.2179067599067599	0.9596729179910998	186977	47223480	0.21792191142191142	0.6254434202161475	14420	45 18 35 0 93	Base Normal	2491	12794136	0.0029032634032634033	0.16944977749523205	22904	20510	70 94 70 57 3	FS	52976.0	1	2457	12441528	0.0028636363636363638	0.1647797202797203	555600	126600	51702	34439	29856	25555	21337	12911	5265	4848	4340	3157	2003	1096	2195	2388	2298	1997	1488	914	513	1027	1372196	1905252	2303680	2087160	1692168	1046528	2387152	6	51603	599400	10	152723	2966800	20	200443	7757360	30	49959	2898150	40	169988	13102680	50	44393	4287250	60	5909	696360	80	14640	2275120	100	51075	9769500	120	1066	254760	160	2711	815200	200	4026	1534000	400	329	266400	500	1	500	1000	0	0	
859000	9996955106	88	1	0.0	187175	75592000	7.2547106E7	0.2178987194412107	0.9597193618372315	187188	47267662	0.2179138533178114	0.6252997936289555	14420	45 18 35 0 93	Base Normal	2497	12823924	0.0029068684516880094	0.16964657635728647	22960	20510	70 94 70 57 3	FS	52976.0	1	2459	12455520	0.0028626309662398135	0.16477299185098954	556271	126745	51759	34469	29882	25589	21363	12922	5280	4860	4349	3165	2005	1099	2202	2394	2302	2002	1491	916	515	1032	1374468	1907508	2310360	2092160	1695168	1051428	2392832	6	51681	600012	10	152954	2970920	20	200696	7765540	30	49998	2900430	40	170154	13116400	50	44437	4291700	60	5922	697560	80	14658	2277760	100	51113	9775800	120	1067	254880	160	2712	815360	200	4028	1534400	400	329	266400	500	1	500	1000	0	0	
860000	9996949094	88	1	0.0	187389	75680000	7.2629094E7	0.21789418604651162	0.9596867600422833	187402	47327110	0.2179093023255814	0.6253582188160677	14420	45 18 35 0 93	Base Normal	2500	12836784	0.0029069767441860465	0.16961923890063424	22992	20510	70 94 70 57 3	FS	52976.0	1	2461	12465200	0.002861627906976744	0.1647093023255814	556900	126906	51826	34511	29913	25615	21384	12945	5286	4865	4358	3166	2008	1100	2209	2397	2305	2003	1492	916	516	1034	1376128	1909308	2315312	2093960	1695168	1053388	2393520	6	51785	601470	10	153092	2973240	20	200898	7772500	30	50044	2902980	40	170402	13136800	50	44490	4299600	60	5930	698400	80	14676	2280560	100	51181	9788700	120	1069	255120	160	2715	815840	200	4031	1535000	400	329	266400	500	1	500	1000	0	0	
861000	9996966068	88	1	0.0	187593	75768000	7.2734068E7	0.2178780487804878	0.9599576074332172	187606	47385946	0.2178931475029036	0.6254084309998944	14420	45 18 35 0 93	Base Normal	2506	12869546	0.002910569105691057	0.16985463520219618	23048	20510	70 94 70 57 3	FS	52976.0	1	2464	12478576	0.002861788617886179	0.1646945412311266	557562	127054	51879	34548	29951	25638	21405	12963	5300	4877	4367	3173	2012	1104	2215	2403	2310	2007	1496	918	518	1038	1378888	1914282	2323200	2097810	1699248	1058918	2397200	6	51849	602256	10	153264	2976470	20	201114	7781520	30	50086	2906040	40	170571	13149920	50	44545	4306200	60	5937	699300	80	14695	2283520	100	51259	9804500	120	1070	255240	160	2722	818080	200	4034	1535600	400	330	266800	500	1	500	1000	0	0	
862000	9996954426	88	1	0.0	187793	75856000	7.2810426E7	0.21785730858468677	0.9598505853195528	187806	47431680	0.21787238979118329	0.6252858046825565	14420	45 18 35 0 93	Base Normal	2506	12869546	0.0029071925754060326	0.16965758806159037	23048	20510	70 94 70 57 3	FS	52976.0	1	2469	12509200	0.0028642691415313227	0.16490719257540604	558227	127187	51934	34587	29979	25672	21433	12981	5300	4877	4367	3173	2012	1104	2215	2403	2310	2007	1496	918	518	1038	1378888	1914282	2323200	2097810	1699248	1058918	2397200	6	51951	603810	10	153401	2979110	20	201283	7788280	30	50126	2908500	40	170766	13165160	50	44598	4310700	60	5937	699300	80	14704	2284640	100	51311	9815000	120	1071	255600	160	2722	818080	200	4037	1536200	400	330	266800	500	1	500	1000	0	0	
863000	9996935638	88	1	0.0	188022	75944000	7.2879638E7	0.2178702201622248	0.959649715579901	188035	47486552	0.21788528389339512	0.6252837880543558	14420	45 18 35 0 93	Base Normal	2510	12879926	0.0029084588644264194	0.169597677235858	23080	20510	70 94 70 57 3	FS	52976.0	1	2470	12513160	0.002862108922363847	0.16476825028968714	558880	127325	51996	34635	30015	25695	21466	12988	5308	4887	4374	3178	2014	1104	2215	2407	2314	2010	1498	918	518	1038	1381080	1917912	2323808	2101760	1699248	1058918	2397200	6	52022	604482	10	153565	2982070	20	201546	7799160	30	50194	2911650	40	170952	13178000	50	44648	4316250	60	5956	701760	80	14717	2286400	100	51368	9827800	120	1073	256200	160	2724	818880	200	4039	1536600	400	330	266800	500	1	500	1000	0	0	
864000	9996936418	88	1	0.0	188241	76032000	7.2968418E7	0.21787152777777777	0.9597066761363636	188254	47538214	0.21788657407407408	0.6252395570286196	14420	45 18 35 0 93	Base Normal	2516	12899268	0.002912037037037037	0.1696557765151515	23128	20510	70 94 70 57 3	FS	52976.0	1	2475	12530936	0.002864583333333333	0.16481134259259259	559520	127471	52073	34668	30052	25724	21489	13003	5322	4900	4384	3185	2017	1105	2215	2413	2320	2015	1500	920	518	1038	1382816	1923966	2329072	2106860	1700436	1058918	2397200	6	52085	605454	10	153784	2986810	20	201759	7807300	30	50256	2915070	40	171180	13193680	50	44704	4322800	60	5964	703080	80	14732	2287760	100	51413	9835600	120	1073	256200	160	2727	819360	200	4043	1537800	400	330	266800	500	1	500	1000	0	0	
865000	9996920190	88	1	0.0	188450	76120000	7.304019E7	0.21786127167630057	0.9595400683131897	188463	47586372	0.21787630057803467	0.6251493956910142	14420	45 18 35 0 93	Base Normal	2517	12903698	0.002909826589595376	0.16951784025223332	23144	20510	70 94 70 57 3	FS	52976.0	1	2480	12550120	0.0028670520231213873	0.16487283236994218	560184	127628	52128	34699	30082	25750	21512	13017	5323	4901	4386	3188	2020	1106	2220	2414	2321	2016	1500	921	519	1040	1382996	1924776	2330672	2106860	1700856	1059618	2397920	6	52158	606342	10	153975	2989910	20	202013	7818720	30	50308	2918010	40	171394	13209160	50	44735	4327650	60	5968	703680	80	14749	2290400	100	51444	9840600	120	1074	256320	160	2729	819680	200	4045	1538600	400	330	266800	500	1	500	1000	0	0	
866000	9996943082	88	1	0.0	188684	76208000	7.3151082E7	0.21787990762124712	0.9598871771992442	188697	47650000	0.21789491916859122	0.6252624396388831	14420	45 18 35 0 93	Base Normal	2519	12918842	0.0029087759815242496	0.16952081146336342	23168	20510	70 94 70 57 3	FS	52976.0	1	2485	12582240	0.0028695150115473442	0.1651039260969977	560817	127789	52187	34731	30118	25774	21551	13033	5325	4906	4391	3192	2023	1109	2222	2415	2323	2018	1502	923	520	1040	1383640	1925226	2332432	2107910	1703136	1068578	2397920	6	52241	608040	10	154184	2994100	20	202235	7826660	30	50383	2923770	40	171580	13223240	50	44776	4331050	60	5978	704580	80	14764	2293360	100	51530	9860700	120	1075	256440	160	2732	820160	200	4048	1540600	400	330	266800	500	1	500	1000	0	0	
867000	9996920240	88	1	0.0	188896	76296000	7.321624E7	0.21787312572087658	0.9596340568312887	188909	47699652	0.2178881199538639	0.6251920415224913	14420	45 18 35 0 93	Base Normal	2521	12928540	0.0029077277970011536	0.1694523959316347	23184	20510	70 94 70 57 3	FS	52976.0	1	2486	12588048	0.002867358708189158	0.16498961937716264	561446	127932	52252	34781	30155	25808	21578	13048	5327	4908	4393	3199	2024	1111	2222	2417	2325	2020	1503	924	521	1040	1384180	1925916	2334560	2108310	1708236	1069418	2397920	6	52281	608412	10	154355	2996660	20	202485	7835500	30	50455	2928510	40	171795	13240400	50	44818	4333750	60	5989	705480	80	14794	2298240	100	51579	9867600	120	1080	257040	160	2732	820160	200	4048	1540600	400	330	266800	500	1	500	1000	0	0	
868000	9996916932	88	1	0.0	189127	76384000	7.3300932E7	0.21788824884792626	0.9596372538751571	189140	47759052	0.2179032258064516	0.6252494239631337	14420	45 18 35 0 93	Base Normal	2524	12937640	0.0029078341013824885	0.16937630917469626	23208	20510	70 94 70 57 3	FS	52976.0	1	2489	12604240	0.002867511520737327	0.1650115207373272	562111	128067	52303	34824	30188	25845	21606	13056	5335	4915	4397	3203	2025	1111	2222	2420	2328	2022	1505	925	521	1040	1385820	1927326	2335560	2112760	1708836	1069418	2397920	6	52334	608952	10	154522	2999750	20	202787	7847760	30	50502	2931210	40	172009	13256320	50	44894	4339700	60	5994	705900	80	14809	2301120	100	51659	9881200	120	1081	257160	160	2737	821280	200	4052	1541400	400	330	266800	500	1	500	1000	0	0	
869000	9996891620	88	1	100.0	189359	76472000	7.336362E7	0.21790448791714614	0.9593527042577675	189372	47819100	0.21791944764096663	0.6253151480280364	14420	45 18 35 0 93	Base Normal	2524	12937640	0.002904487917146145	0.16918139972800503	23208	20510	70 94 70 57 3	FS	52976.0	1	2490	12606880	0.0028653624856156503	0.1648561565017261	562728	128233	52365	34871	30221	25874	21630	13078	5335	4915	4397	3203	2025	1111	2222	2420	2328	2022	1505	925	521	1040	1385820	1927326	2335560	2112760	1708836	1069418	2397920	6	52426	609720	10	154723	3003650	20	203048	7858260	30	50570	2934990	40	172232	13275240	50	44954	4343000	60	6005	707700	80	14826	2304640	100	51705	9891200	120	1083	257520	160	2740	823680	200	4054	1542200	400	330	266800	500	1	500	1000	0	0	
870000	9996870684	88	1	0.0	189556	76560000	7.3430684E7	0.21788045977011494	0.9591259665621734	189569	47880634	0.21789540229885057	0.6254001306165099	14420	45 18 35 0 93	Base Normal	2526	12940530	0.002903448275862069	0.16902468652037617	23224	20510	70 94 70 57 3	FS	52976.0	1	2491	12609520	0.0028632183908045977	0.16470114942528735	563393	128358	52426	34914	30256	25905	21655	13093	5338	4924	4401	3203	2025	1111	2222	2422	2330	2024	1505	925	521	1040	1386280	1927956	2337360	2112760	1708836	1069418	2397920	6	52474	610254	10	154863	3006650	20	203277	7866080	30	50617	2937720	40	172386	13290680	50	45023	4350250	60	6016	708600	80	14841	2306960	100	51782	9911100	120	1084	257640	160	2741	824800	200	4056	1542600	400	330	266800	500	1	500	1000	0	0	
871000	9996870494	88	1	0.0	189765	76648000	7.3518494E7	0.2178702640642939	0.9591704154054901	189778	47928920	0.21788518943742824	0.6253120759837177	14420	45 18 35 0 93	Base Normal	2529	12967646	0.0029035591274397246	0.16918440141947605	23264	20510	70 94 70 57 3	FS	52976.0	1	2494	12621928	0.0028633754305396096	0.1646739380022962	564050	128503	52502	34951	30284	25927	21673	13110	5342	4929	4404	3211	2028	1115	2235	2424	2333	2027	1506	927	523	1045	1387100	1932606	2341760	2113410	1710996	1072638	2409136	6	52547	611220	10	154989	3008760	20	203514	7874420	30	50684	2940840	40	172542	13300720	50	45093	4355000	60	6026	709740	80	14854	2309120	100	51824	9919400	120	1086	258600	160	2741	824800	200	4062	1546200	400	331	269600	500	1	500	1000	0	0	
872000	9996849856	88	1	0.0	189964	76736000	7.3585856E7	0.21784862385321102	0.9589482902418682	189977	47986228	0.21786353211009174	0.6253417952460384	14420	45 18 35 0 93	Base Normal	2530	12969780	0.002901376146788991	0.16901819224353629	23272	20510	70 94 70 57 3	FS	52976.0	1	2497	12629848	0.0028635321100917432	0.16458830275229358	564682	128652	52556	34992	30320	25959	21709	13130	5346	4932	4405	3211	2028	1115	2235	2425	2334	2027	1506	927	523	1045	1388400	1933440	2341760	2113410	1710996	1072638	2409136	6	52630	612228	10	155172	3012860	20	203714	7881440	30	50733	2944080	40	172718	13315360	50	45144	4363000	60	6033	710760	80	14869	2310960	100	51868	9931800	120	1086	258600	160	2745	825440	200	4065	1549600	400	331	269600	500	1	500	1000	0	0	
873000	9996837330	88	1	0.0	190187	76824000	7.366133E7	0.2178545246277205	0.9588322659585546	190200	48043278	0.21786941580756014	0.6253680880974696	14420	45 18 35 0 93	Base Normal	2533	12976060	0.0029014891179839635	0.16890633135478497	23296	20510	70 94 70 57 3	FS	52976.0	1	2501	12641992	0.0028648339060710197	0.16455784650630012	565362	128784	52606	35027	30356	25985	21734	13146	5351	4941	4412	3214	2028	1115	2235	2428	2337	2029	1507	927	523	1045	1389300	1934250	2345280	2114460	1710996	1072638	2409136	6	52699	612948	10	155336	3015700	20	203957	7890560	30	50815	2947620	40	172896	13330800	50	45207	4368450	60	6036	710940	80	14885	2314720	100	51930	9945600	120	1086	258600	160	2747	826240	200	4070	1550600	400	332	270000	500	1	500	1000	0	0	
874000	9996805744	88	1	300.0	190380	76912000	7.3717744E7	0.21782608695652175	0.9584686914915748	190393	48087322	0.21784096109839818	0.6252252184314542	14420	45 18 35 0 93	Base Normal	2535	12984030	0.00290045766590389	0.16881669960474308	23312	20510	70 94 70 57 3	FS	52976.0	1	2502	12646392	0.002862700228832952	0.16442677345537757	566025	128914	52665	35064	30391	26015	21767	13159	5353	4946	4415	3220	2028	1115	2235	2430	2339	2031	1507	927	523	1045	1391040	1937400	2348360	2114460	1710996	1072638	2409136	6	52747	613272	10	155522	3018630	20	204156	7897700	30	50851	2950020	40	173061	13342640	50	45241	4372600	60	6042	712020	80	14904	2318000	100	51987	9953100	120	1088	258840	160	2750	828000	200	4076	1552000	400	332	270000	500	1	500	1000	0	0	
875000	9996796956	88	1	0.0	190584	77000000	7.3796956E7	0.2178102857142857	0.958402025974026	190597	48139302	0.21782514285714286	0.6251857402597403	14420	45 18 35 0 93	Base Normal	2537	12988910	0.0028994285714285715	0.16868714285714287	23328	20510	70 94 70 57 3	FS	52976.0	1	2506	12668744	0.002864	0.16452914285714285	566678	129076	52728	35099	30417	26038	21792	13172	5358	4948	4420	3222	2030	1115	2235	2432	2341	2033	1508	928	523	1045	1391716	1938060	2350864	2114960	1711536	1072638	2409136	6	52766	613452	10	155687	3022120	20	204364	7905960	30	50916	2953350	40	173226	13352440	50	45304	4377500	60	6053	712680	80	14912	2318960	100	52053	9967300	120	1088	258840	160	2753	828800	200	4083	1556200	400	333	271200	500	1	500	1000	0	0	
876000	9996798512	88	1	0.0	190810	77088000	7.3886512E7	0.21781963470319635	0.958469696969697	190823	48202974	0.21783447488584476	0.6252980230386053	14420	45 18 35 0 93	Base Normal	2542	13005554	0.002901826484018265	0.16871048671647987	23376	20510	70 94 70 57 3	FS	52976.0	1	2508	12677984	0.002863013698630137	0.16446118721461186	567304	129215	52796	35140	30456	26073	21819	13197	5378	4963	4422	3225	2034	1116	2238	2436	2343	2035	1510	929	524	1047	1393208	1940880	2354776	2116460	1714656	1072918	2412656	6	52816	613944	10	155863	3025790	20	204613	7916460	30	50978	2957610	40	173420	13368040	50	45359	4382550	60	6061	713280	80	14941	2322960	100	52113	9981400	120	1091	259800	160	2756	830240	200	4089	1559200	400	333	271200	500	1	500	1000	0	0	
